id;Sensorname;Type;Subtype;Value1;Value2;ValueDiff;Duration;Timestamp
324224;W_Balkon_cyrspec_moist;zwave;MoistPercent;111.22;;;;"=""2020-12-22 10:46:30.370"""
324225;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:46:30.839"""
324226;K_Abfall_cyr;zwave;Contact;OPEN;;;;"=""2020-12-22 10:47:49.231"""
324227;K_Abfall_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 10:48:22.406"""
324228;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 10:49:27.034"""
324229;W_Balkon_cyrspec_temp;zwave;Temperature;12.34;;;;"=""2020-12-22 10:49:33.040"""
324230;W_Balkon_cyrspec_moist;zwave;MoistPercent;111.05;;;;"=""2020-12-22 10:49:33.217"""
324231;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:49:33.679"""
324232;W_Balkon_cyrspec_temp;zwave;Temperature;12.3;;;;"=""2020-12-22 10:52:28.142"""
324233;W_Balkon_cyrspec_moist;zwave;MoistPercent;112.36;;;;"=""2020-12-22 10:52:28.307"""
324234;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:52:28.771"""
324235;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 10:52:59.713"""
324236;W_Balkon_cyrspec_temp;zwave;Temperature;12.34;;;;"=""2020-12-22 10:55:29.738"""
324237;W_Balkon_cyrspec_moist;zwave;MoistPercent;110.38;;;;"=""2020-12-22 10:55:29.912"""
324238;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:55:30.365"""
324239;B_Wasch_cyr;zwave;Contact;CLOSED;;;;"=""2020-12-22 10:56:24.025"""
324240;W_Balkon_cyrspec_temp;zwave;Temperature;12.2;;;;"=""2020-12-22 10:58:24.871"""
324241;W_Balkon_cyrspec_moist;zwave;MoistPercent;110.69;;;;"=""2020-12-22 10:58:25.034"""
324242;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 10:58:25.515"""
324243;W_Balkon_cyrspec_switch;zwave;Switch;ON;;;;"=""2020-12-22 11:00:06.767"""
324244;W_Balkon_cyrspec_temp;zwave;Temperature;12.11;;;;"=""2020-12-22 11:01:26.853"""
324245;W_Balkon_cyrspec_moist;zwave;MoistPercent;110.85;;;;"=""2020-12-22 11:01:27.022"""
324246;W_Balkon_cyrspec_light;zwave;LightPercent;100;;;;"=""2020-12-22 11:01:27.523"""
324247;W_Balkon_cyrspec_switch;zwave;Switch;OFF;;;;"=""2020-12-22 11:03:28.052"""
324248;W_Balkon_cyrspec_temp;zwave;Temperature;12.02;;;;"=""2020-12-22 11:04:28.451"""
324249;W_Balkon_cyrspec_moist;zwave;MoistPercent;111.07;;;;"=""2020-12-22 11:04:28.625"""
